Source,CH1,CH2,
Second,Volt,Volt,
-0.00024848000,0.22660,0.20300,
-0.00024846002,0.22680,0.20340,
-0.00024843998,0.22700,0.20300,
-0.00024842000,0.22680,0.20340,
-0.00024840000,0.22660,0.20260,
-0.00024838000,0.22660,0.20320,
-0.00024836002,0.22700,0.20320,
-0.00024833998,0.22700,0.20360,
-0.00024832000,0.22640,0.20280,
-0.00024830000,0.22660,0.20300,
-0.00024828000,0.22660,0.20280,
-0.00024826002,0.22680,0.20340,
-0.00024823998,0.22660,0.20280,
-0.00024822000,0.22660,0.20340,
-0.00024820000,0.22640,0.20280,
-0.00024818000,0.22680,0.20320,
-0.00024816002,0.22660,0.20280,
-0.00024813998,0.22680,0.20360,
-0.00024811998,0.22660,0.20300,
-0.00024810000,0.22680,0.20320,
-0.00024808000,0.22680,0.20300,
-0.00024806002,0.22660,0.20340,
-0.00024803998,0.22660,0.20280,
-0.00024801998,0.22660,0.20320,
-0.00024800000,0.22680,0.20280,
-0.00024798000,0.22660,0.20340,
-0.00024796002,0.22700,0.20300,
-0.00024793998,0.22680,0.20340,
-0.00024791998,0.22640,0.20280,
-0.00024790000,0.22640,0.20320,
-0.00024788000,0.22640,0.20240,
-0.00024786000,0.22680,0.20320,
-0.00024784002,0.22660,0.20300,
-0.00024781998,0.22620,0.20320,
-0.00024780000,0.22660,0.20280,
-0.00024778000,0.22680,0.20340,
-0.00024776000,0.22680,0.20300,
-0.00024774002,0.22660,0.20360,
-0.00024771998,0.22660,0.20300,
-0.00024770000,0.22640,0.20300,
-0.00024768000,0.22660,0.20280,
-0.00024766000,0.22680,0.20340,
-0.00024764002,0.22700,0.20300,
-0.00024761998,0.22660,0.20320,
-0.00024760000,0.22700,0.20260,
-0.00024758000,0.22660,0.20340,
-0.00024756000,0.22680,0.20300,
-0.00024754002,0.22680,0.20320,
-0.00024751998,0.22640,0.20280,
-0.00024750000,0.22700,0.20320,
-0.00024748000,0.22680,0.20280,
-0.00024746000,0.22680,0.20340,
-0.00024744002,0.22680,0.20260,
-0.00024741998,0.22640,0.20300,
-0.00024739998,0.22660,0.20280,
-0.00024738000,0.22660,0.20340,
-0.00024736000,0.22660,0.20300,
-0.00024734002,0.22680,0.20340,
-0.00024731998,0.22620,0.20300,
-0.00024729998,0.22660,0.20320,
-0.00024728000,0.22660,0.20300,
-0.00024726000,0.22660,0.20340,
-0.00024724002,0.22680,0.20300,
-0.00024721998,0.22640,0.20320,
-0.00024719998,0.22640,0.20280,
-0.00024718000,0.22680,0.20360,
-0.00024716000,0.22660,0.20300,
