Source,CH1,CH2,
Second,Volt,Volt,
-0.00112840000,0.31500,0.24640,
-0.00112830000,0.31500,0.24800,
-0.00112820000,0.31520,0.24680,
-0.00112810000,0.31500,0.24760,
-0.00112800000,0.31460,0.24640,
-0.00112790000,0.31500,0.24760,
-0.00112780000,0.31500,0.24640,
-0.00112770000,0.31500,0.24760,
-0.00112760000,0.31500,0.24680,
-0.00112750000,0.31500,0.24760,
-0.00112740000,0.31520,0.24600,
-0.00112730000,0.31520,0.24760,
-0.00112720000,0.31480,0.24680,
-0.00112710000,0.31480,0.24680,
-0.00112700000,0.31520,0.24680,
-0.00112690000,0.31480,0.24760,
-0.00112680000,0.31500,0.24680,
-0.00112670000,0.31500,0.24760,
-0.00112660000,0.31480,0.24640,
-0.00112650000,0.31500,0.24760,
-0.00112640000,0.31480,0.24680,
-0.00112630000,0.31500,0.24720,
-0.00112620000,0.31500,0.24640,
-0.00112610000,0.31500,0.24800,
-0.00112600000,0.31500,0.24640,
-0.00112590000,0.31500,0.24760,
-0.00112580000,0.31520,0.24600,
-0.00112570000,0.31500,0.24760,
-0.00112560000,0.31500,0.24680,
-0.00112550000,0.31520,0.24760,
-0.00112540013,0.31500,0.24640,
-0.00112530013,0.31480,0.24800,
-0.00112520013,0.31520,0.24640,
-0.00112510013,0.31500,0.24800,
-0.00112500013,0.31520,0.24640,
-0.00112490013,0.31480,0.24720,
-0.00112480013,0.31500,0.24680,
-0.00112470013,0.31480,0.24720,
-0.00112460013,0.31500,0.24600,
-0.00112450013,0.31500,0.24760,
-0.00112440013,0.31500,0.24600,
-0.00112430013,0.31460,0.24720,
-0.00112420000,0.31500,0.24600,
-0.00112410000,0.31500,0.24760,
-0.00112400000,0.31480,0.24680,
-0.00112390000,0.31500,0.24760,
-0.00112380000,0.31500,0.24640,
-0.00112370000,0.31500,0.24760,
-0.00112360000,0.31500,0.24680,
-0.00112350000,0.31500,0.24760,
-0.00112340000,0.31500,0.24640,
-0.00112330000,0.31480,0.24720,
-0.00112320000,0.31500,0.24640,
-0.00112310000,0.31480,0.24720,
-0.00112300000,0.31500,0.24640,
-0.00112290000,0.31500,0.24760,
-0.00112280000,0.31480,0.24640,
-0.00112270000,0.31500,0.24760,
-0.00112260000,0.31500,0.24600,
-0.00112250000,0.31500,0.24720,
-0.00112240000,0.31500,0.24640,
-0.00112230000,0.31480,0.24720,
-0.00112220000,0.31480,0.24640,
-0.00112210000,0.31500,0.24760,
-0.00112200000,0.31520,0.24640,
-0.00112190000,0.31520,0.24760,
-0.00112180000,0.31460,0.24680,
-0.00112170000,0.31520,0.24760,
-0.00112160000,0.31500,0.24640,
-0.00112150000,0.31480,0.24720,
-0.00112140000,0.31500,0.24600,
-0.00112130000,0.31480,0.24680,
-0.00112120000,0.31500,0.24640,
-0.00112110000,0.31460,0.24680,
-0.00112100000,0.31480,0.24640,
-0.00112090000,0.31500,0.24680,
-0.00112080000,0.31500,0.24640,
-0.00112070000,0.31500,0.24720,
-0.00112060000,0.31480,0.24640,
-0.00112050000,0.31480,0.24720,
-0.00112040000,0.31460,0.24640,
-0.00112030000,0.31460,0.24720,
-0.00112020000,0.31520,0.24680,
-0.00112010000,0.31500,0.24760,
-0.00112000000,0.31480,0.24600,
-0.00111990000,0.31460,0.24800,
-0.00111980000,0.31500,0.24600,
-0.00111970000,0.31460,0.24720,
-0.00111960000,0.31460,0.24640,
-0.00111950000,0.31480,0.24720,
-0.00111940000,0.31460,0.24600,
-0.00111930000,0.31460,0.24720,
-0.00111920000,0.31500,0.24600,
-0.00111910000,0.31460,0.24800,
-0.00111900000,0.31480,0.24640,
-0.00111890000,0.31500,0.24760,
-0.00111880000,0.31500,0.24680,
-0.00111870000,0.31480,0.24760,
-0.00111860000,0.31480,0.24680,
-0.00111850000,0.31480,0.24760,
-0.00111840000,0.31480,0.24640,
-0.00111830000,0.31500,0.24760,
-0.00111820000,0.31460,0.24640,
-0.00111810000,0.31440,0.24760,
-0.00111800000,0.31480,0.24600,
-0.00111790000,0.31460,0.24720,
-0.00111780000,0.31480,0.24640,
-0.00111770000,0.31460,0.24760,
-0.00111760000,0.31480,0.24640,
-0.00111750000,0.31460,0.24720,
-0.00111740000,0.31500,0.24640,
-0.00111730000,0.31480,0.24680,
-0.00111720000,0.31480,0.24640,
-0.00111710000,0.31460,0.24720,
-0.00111700000,0.31500,0.24640,
-0.00111690000,0.31480,0.24760,
-0.00111680000,0.31460,0.24640,
-0.00111670000,0.31460,0.24680,
-0.00111660000,0.31460,0.24640,
-0.00111650000,0.31480,0.24720,
-0.00111640000,0.31480,0.24600,
-0.00111630000,0.31480,0.24720,
-0.00111620000,0.31460,0.24640,
-0.00111610000,0.31480,0.24720,
-0.00111600000,0.31460,0.24600,
-0.00111590000,0.31460,0.24680,
-0.00111580000,0.31460,0.24600,
-0.00111570000,0.31460,0.24720,
-0.00111560000,0.31460,0.24600,
-0.00111550000,0.31500,0.24720,
-0.00111540000,0.31460,0.24680,
-0.00111530000,0.31500,0.24680,
-0.00111520000,0.31480,0.24640,
-0.00111510000,0.31440,0.24680,
-0.00111500000,0.31480,0.24640,
-0.00111490000,0.31460,0.24680,
-0.00111480000,0.31460,0.24600,
-0.00111470000,0.31460,0.24720,
-0.00111460000,0.31440,0.24560,
-0.00111450000,0.31460,0.24760,
-0.00111440000,0.31480,0.24640,
-0.00111430000,0.31460,0.24720,
-0.00111420000,0.31480,0.24600,
-0.00111410000,0.31460,0.24720,
-0.00111400000,0.31460,0.24640,
-0.00111390000,0.31460,0.24760,
-0.00111380000,0.31440,0.24600,
-0.00111370000,0.31440,0.24760,
-0.00111360000,0.31480,0.24640,
-0.00111350000,0.31460,0.24720,
-0.00111340000,0.31440,0.24560,
-0.00111330000,0.31480,0.24760,
-0.00111320000,0.31440,0.24640,
-0.00111310000,0.31460,0.24720,
-0.00111300000,0.31460,0.24560,
-0.00111290000,0.31480,0.24720,
-0.00111280000,0.31460,0.24560,
-0.00111270000,0.31500,0.24760,
-0.00111260000,0.31440,0.24640,
-0.00111250000,0.31460,0.24720,
-0.00111240000,0.31460,0.24600,
-0.00111230000,0.31460,0.24680,
-0.00111220000,0.31440,0.24600,
-0.00111210000,0.31480,0.24720,
-0.00111200000,0.31440,0.24600,
-0.00111190000,0.31460,0.24680,
-0.00111180000,0.31460,0.24600,
-0.00111170000,0.31480,0.24720,
-0.00111160000,0.31480,0.24640,
-0.00111150000,0.31460,0.24760,
-0.00111140000,0.31420,0.24600,
-0.00111130000,0.31460,0.24680,
-0.00111120000,0.31480,0.24600,
-0.00111110000,0.31440,0.24760,
-0.00111100000,0.31440,0.24600,
-0.00111090000,0.31440,0.24760,
-0.00111080000,0.31480,0.24640,
-0.00111070000,0.31440,0.24720,
-0.00111060000,0.31460,0.24600,
-0.00111050000,0.31460,0.24720,
-0.00111040000,0.31460,0.24640,
-0.00111030000,0.31480,0.24760,
-0.00111020000,0.31460,0.24640,
-0.00111010013,0.31460,0.24720,
-0.00111000013,0.31460,0.24600,
-0.00110990013,0.31500,0.24760,
-0.00110980013,0.31440,0.24560,
-0.00110970013,0.31460,0.24680,
-0.00110960013,0.31480,0.24640,
-0.00110950013,0.31480,0.24720,
-0.00110940013,0.31480,0.24640,
-0.00110930013,0.31480,0.24720,
-0.00110920013,0.31500,0.24640,
-0.00110910013,0.31460,0.24720,
-0.00110900013,0.31480,0.24640,
-0.00110890000,0.31500,0.24760,
-0.00110880000,0.31440,0.24600,
-0.00110870000,0.31480,0.24720,
-0.00110860000,0.31460,0.24640,
-0.00110850000,0.31460,0.24720,
-0.00110840000,0.31480,0.24640,
-0.00110830000,0.31520,0.24720,
-0.00110820000,0.31460,0.24600,
-0.00110810000,0.31480,0.24800,
-0.00110800000,0.31460,0.24680,
-0.00110790000,0.31480,0.24720,
-0.00110780000,0.31460,0.24600,
-0.00110770000,0.31460,0.24760,
-0.00110760000,0.31480,0.24640,
-0.00110750000,0.31460,0.24720,
-0.00110740000,0.31480,0.24640,
-0.00110730000,0.31480,0.24720,
-0.00110720000,0.31500,0.24680,
-0.00110710000,0.31480,0.24720,
-0.00110700000,0.31480,0.24640,
-0.00110690000,0.31480,0.24760,
-0.00110680000,0.31480,0.24680,
-0.00110670000,0.31460,0.24720,
-0.00110660000,0.31460,0.24720,
-0.00110650000,0.31500,0.24720,
-0.00110640000,0.31480,0.24640,
-0.00110630000,0.31480,0.24720,
-0.00110620000,0.31480,0.24640,
-0.00110610000,0.31480,0.24800,
-0.00110600000,0.31460,0.24640,
-0.00110590000,0.31500,0.24800,
-0.00110580000,0.31460,0.24680,
-0.00110570000,0.31480,0.24800,
-0.00110560000,0.31480,0.24640,
-0.00110550000,0.31480,0.24760,
-0.00110540000,0.31500,0.24640,
-0.00110530000,0.31520,0.24720,
-0.00110520000,0.31480,0.24600,
-0.00110510000,0.31480,0.24760,
-0.00110500000,0.31500,0.24640,
-0.00110490000,0.31500,0.24760,
-0.00110480000,0.31460,0.24640,
-0.00110470000,0.31500,0.24720,
-0.00110460000,0.31480,0.24640,
-0.00110450000,0.31480,0.24720,
-0.00110440000,0.31500,0.24640,
-0.00110430000,0.31500,0.24720,
-0.00110420000,0.31460,0.24640,
-0.00110410000,0.31480,0.24760,
-0.00110400000,0.31500,0.24600,
-0.00110390000,0.31520,0.24720,
-0.00110380000,0.31480,0.24680,
-0.00110370000,0.31500,0.24760,
-0.00110360000,0.31480,0.24640,
-0.00110350000,0.31480,0.24760,
-0.00110340000,0.31500,0.24600,
-0.00110330000,0.31480,0.24800,
-0.00110320000,0.31500,0.24640,
-0.00110310000,0.31480,0.24760,
-0.00110300000,0.31500,0.24640,
-0.00110290000,0.31480,0.24760,
-0.00110280000,0.31480,0.24680,
-0.00110270000,0.31500,0.24800,
-0.00110260000,0.31480,0.24640,
-0.00110250000,0.31500,0.24720,
-0.00110240000,0.31500,0.24560,
-0.00110230000,0.31500,0.24760,
-0.00110220000,0.31480,0.24640,
-0.00110210000,0.31480,0.24760,
-0.00110200000,0.31480,0.24640,
-0.00110190000,0.31500,0.24760,
-0.00110180000,0.31480,0.24640,
-0.00110170000,0.31500,0.24800,
-0.00110160000,0.31480,0.24640,
-0.00110150000,0.31480,0.24760,
-0.00110140000,0.31460,0.24640,
-0.00110130000,0.31500,0.24720,
-0.00110120000,0.31480,0.24640,
-0.00110110000,0.31460,0.24720,
-0.00110100000,0.31500,0.24680,
-0.00110090000,0.31480,0.24720,
-0.00110080000,0.31500,0.24640,
-0.00110070000,0.31500,0.24720,
-0.00110060000,0.31480,0.24640,
-0.00110050000,0.31480,0.24720,
-0.00110040000,0.31480,0.24680,
-0.00110030000,0.31540,0.24760,
-0.00110020000,0.31520,0.24680,
-0.00110010000,0.31480,0.24760,
-0.00110000000,0.31480,0.24600,
-0.00109990000,0.31480,0.24800,
-0.00109980000,0.31520,0.24600,
-0.00109970000,0.31500,0.24760,
-0.00109960000,0.31500,0.24640,
-0.00109950000,0.31520,0.24760,
-0.00109940000,0.31520,0.24680,
-0.00109930000,0.31480,0.24760,
-0.00109920000,0.31480,0.24600,
-0.00109910000,0.31480,0.24720,
-0.00109900000,0.31480,0.24680,
-0.00109890000,0.31500,0.24720,
-0.00109880000,0.31500,0.24640,
-0.00109870000,0.31480,0.24800,
-0.00109860000,0.31500,0.24680,
-0.00109850000,0.31480,0.24760,
-0.00109840000,0.31480,0.24680,
-0.00109830000,0.31460,0.24800,
-0.00109820000,0.31480,0.24640,
-0.00109810000,0.31480,0.24760,
-0.00109800000,0.31500,0.24680,
-0.00109790000,0.31500,0.24760,
-0.00109780000,0.31500,0.24640,
-0.00109770000,0.31480,0.24760,
-0.00109760000,0.31520,0.24600,
-0.00109750000,0.31520,0.24760,
-0.00109740000,0.31500,0.24640,
-0.00109730000,0.31500,0.24720,
-0.00109720000,0.31520,0.24640,
-0.00109710000,0.31500,0.24720,
-0.00109700000,0.31500,0.24640,
-0.00109690000,0.31500,0.24760,
-0.00109680000,0.31500,0.24680,
-0.00109670000,0.31500,0.24800,
-0.00109660000,0.31520,0.24680,
-0.00109650000,0.31500,0.24840,
-0.00109640000,0.31500,0.24680,
-0.00109630000,0.31520,0.24800,
-0.00109620000,0.31500,0.24680,
-0.00109610000,0.31480,0.24720,
-0.00109600000,0.31500,0.24680,
-0.00109590000,0.31500,0.24800,
-0.00109580000,0.31500,0.24680,
-0.00109570000,0.31480,0.24760,
-0.00109560000,0.31520,0.24680,
-0.00109550000,0.31480,0.24800,
-0.00109540000,0.31500,0.24680,
-0.00109530000,0.31480,0.24800,
-0.00109520000,0.31500,0.24600,
-0.00109510000,0.31500,0.24760,
-0.00109500000,0.31500,0.24680,
-0.00109490000,0.31500,0.24760,
-0.00109480013,0.31500,0.24640,
-0.00109470013,0.31500,0.24720,
-0.00109460013,0.31480,0.24640,
-0.00109450013,0.31500,0.24720,
-0.00109440013,0.31520,0.24680,
-0.00109430013,0.31500,0.24760,
-0.00109420013,0.31500,0.24640,
-0.00109410013,0.31520,0.24760,
-0.00109400013,0.31500,0.24680,
-0.00109390013,0.31480,0.24760,
-0.00109380013,0.31500,0.24680,
-0.00109370000,0.31500,0.24760,
-0.00109360000,0.31520,0.24680,
-0.00109350000,0.31500,0.24760,
-0.00109340000,0.31520,0.24640,
-0.00109330000,0.31520,0.24840,
-0.00109320000,0.31500,0.24640,
-0.00109310000,0.31480,0.24720,
-0.00109300000,0.31480,0.24600,
-0.00109290000,0.31460,0.24720,
-0.00109280000,0.31480,0.24600,
-0.00109270000,0.31500,0.24760,
-0.00109260000,0.31500,0.24680,
-0.00109250000,0.31480,0.24760,
-0.00109240000,0.31500,0.24640,
-0.00109230000,0.31480,0.24760,
-0.00109220000,0.31500,0.24640,
-0.00109210000,0.31500,0.24760,
-0.00109200000,0.31480,0.24680,
-0.00109190000,0.31480,0.24720,
-0.00109180000,0.31520,0.24640,
-0.00109170000,0.31500,0.24760,
-0.00109160000,0.31480,0.24640,
-0.00109150000,0.31480,0.24760,
-0.00109140000,0.31520,0.24640,
-0.00109130000,0.31500,0.24760,
-0.00109120000,0.31500,0.24640,
-0.00109110000,0.31480,0.24760,
-0.00109100000,0.31500,0.24680,
-0.00109090000,0.31500,0.24720,
-0.00109080000,0.31500,0.24640,
-0.00109070000,0.31500,0.24760,
-0.00109060000,0.31540,0.24680,
-0.00109050000,0.31480,0.24720,
-0.00109040000,0.31520,0.24600,
-0.00109030000,0.31500,0.24720,
-0.00109020000,0.31500,0.24680,
-0.00109010000,0.31500,0.24760,
-0.00109000000,0.31500,0.24640,
-0.00108990000,0.31500,0.24720,
-0.00108980000,0.31500,0.24640,
-0.00108970000,0.31500,0.24800,
-0.00108960000,0.31500,0.24680,
-0.00108950000,0.31480,0.24720,
-0.00108940000,0.31480,0.24640,
-0.00108930000,0.31500,0.24760,
-0.00108920000,0.31520,0.24680,
-0.00108910000,0.31520,0.24720,
-0.00108900000,0.31500,0.24640,
-0.00108890000,0.31520,0.24800,
-0.00108880000,0.31480,0.24640,
-0.00108870000,0.31500,0.24720,
-0.00108860000,0.31520,0.24600,
-0.00108850000,0.31500,0.24720,
-0.00108840000,0.31500,0.24640,
-0.00108830000,0.31500,0.24760,
-0.00108820000,0.31500,0.24640,
-0.00108810000,0.31500,0.24800,
-0.00108800000,0.31480,0.24640,
-0.00108790000,0.31520,0.24720,
-0.00108780000,0.31520,0.24640,
-0.00108770000,0.31500,0.24760,
-0.00108760000,0.31500,0.24600,
-0.00108750000,0.31500,0.24760,
-0.00108740000,0.31520,0.24640,
-0.00108730000,0.31480,0.24760,
-0.00108720000,0.31500,0.24600,
-0.00108710000,0.31480,0.24760,
-0.00108700000,0.31500,0.24640,
-0.00108690000,0.31520,0.24760,
